0,2.1557894736842105e+00
1,1.1740285253595438e+01
2,7.6039349643097216e+00
3,4.0137076542206689e+00
4,3.7694279154395764e+00
5,1.3205770894515139e+00
6,1.1383475499315767e+00
7,1.1373027473422648e+00
8,1.1347684612895854e+00
9,3.4126267082494756e+01
10,1.2384750334983292e+00
11,1.1136888099527966e+00
12,6.4784471897827309e+00
13,1.6976141034704664e+01
14,2.3757190897135603e+00
15,5.8454441784139668e+00
16,8.2530499212281452e+00
17,8.8823002632688208e+00
18,1.2785143222145607e+01
19,2.1134928456758835e+00
20,1.1676790453463726e+00
21,1.6313358335767482e+01
22,8.9046515731185387e+00
23,1.0746787474044725e+01
24,1.9360048519688702e+00
25,4.4956766976056599e+00
26,5.3706787458130032e+00
27,3.8226312672117371e+00
28,6.3446205606172477e+00
29,4.0668157364799349e+00
30,6.8967051092132392e-01
31,1.6766247088117923e+00
32,4.7966972578120854e+00
33,4.4739781014059092e+00
34,1.2359012141393874e+01
35,9.7775719218839896e-01
36,2.0382852838831145e+00
37,4.2044445862620607e+00
38,5.4302687716531706e+00
39,6.6744691961717573e-01
40,2.6884687954517799e+00
41,6.5933326554659288e-01
42,9.5104058030870198e-01
43,4.4597399752345828e+00
44,2.7285317207908713e+00
45,9.0733675518289125e+00
46,3.1966768101827352e+00
47,6.6010272131250913e-01
48,1.2548468199950691e+00
49,4.8374703892466835e+00
50,3.8415306833002144e-01
51,3.5858363294560386e-01
52,3.3579541778214135e+00
53,3.8357231849746314e+00
54,5.8014229191107192e-01
55,4.2547904538131615e-01
56,2.1564523922013712e+00
57,1.5996320066026160e+00
58,7.0906854139918174e-01
59,1.8137711000410490e+00
60,8.9566260945728948e-01
61,1.8431034017259280e+00
62,5.9457545327145211e-01
63,5.2542583166903467e-01
64,7.4218668116572140e-01
65,8.6020753081347245e-01
66,3.4383830741420849e+00
67,7.9811208000618006e-01
68,6.2224355150867361e-01
69,3.0888619484719942e-01
70,3.8062752258476777e+00
71,1.7614646161956971e-01
72,2.1484203131074442e-01
73,3.2393252476444773e-01
74,1.8146292462852311e+00
75,3.7551187055260493e-01
76,5.0041910266047218e-01
77,2.1932752114539891e-01
78,1.6644163345785561e+00
79,6.8383820164293097e-01
80,2.0571419606582678e-01
81,9.4058046815399921e-02
82,2.1059330884217112e-01
83,9.5740376483253814e-02
84,2.8450107961000054e-01
85,8.7080053222996767e-01
86,7.6792078900624272e-01
87,6.4109942513789164e-01
88,5.5411262148072160e-01
89,6.5285616315040418e-01
90,1.7563429765049429e-01
91,9.8854064396015781e-02
92,9.5732048352319424e-02
93,3.9990047892849695e-01
94,1.7779326764047207e-01
95,3.7067871103798478e-01
96,9.7419188379640934e-02
97,1.1868856854807266e-01
98,2.0382947037517288e-01
99,1.3191291711708272e-01
100,1.8128776673302605e-01
