epoch,loss,forward_total_time,backward_total_time,forward_mean_time,backward_mean_time,grad_norm,theta_step
1,8.38026765652863,5.491359999999999,1.0352715000000001,0.10982719999999999,0.020705430000000004,48.44594477468073,0.00968918895493615
2,7.889516176406886,6.295202699999994,1.1924359999999963,0.12590405399999988,0.023848719999999924,50.47848770543617,0.010095697541087247
3,7.387023994224617,6.248516999999998,1.2628817000000065,0.12497033999999996,0.02525763400000013,49.02941044871901,0.009805882089743789
4,6.9147253143980505,5.808667200000009,1.211499100000001,0.11617334400000018,0.02422998200000002,47.30046992407727,0.009460093984815454
5,6.475188690855809,5.722276600000022,1.06663110000002,0.11444553200000045,0.021332622000000398,45.6288211092234,0.009125764221844664
6,6.065789157019762,5.854822600000048,1.1746184,0.11709645200000096,0.023492368,44.191088324072275,0.008838217664814444
7,5.682099434024371,6.002606899999975,1.184962299999988,0.1200521379999995,0.02369924599999976,42.64981572224439,0.008529963144448875
8,5.324404941422697,5.811962599999987,1.0949049999999758,0.11623925199999974,0.021898099999999518,41.2001732068519,0.00824003464137038
9,4.985978147015971,5.400521499999975,1.0415264999999962,0.1080104299999995,0.020830529999999924,41.38855535321249,0.008277711070642511
10,4.6456969314570316,5.349643800000067,1.0321822999999313,0.10699287600000133,0.020643645999998624,40.7526846156997,0.008150536923139936
11,4.313435985318634,5.43575450000003,0.9925334999999933,0.1087150900000006,0.019850669999999866,40.755776681197084,0.00815115533623937
12,3.986874137689685,5.522529799999944,1.0214168000000257,0.11045059599999889,0.020428336000000512,39.2469836632062,0.0078493967326412
13,3.685424409120424,5.9524295999999595,1.217235200000033,0.11904859199999919,0.02434470400000066,37.56188520800375,0.0075123770416007565
14,3.4093111771192683,6.175394599999976,1.226957800000065,0.12350789199999951,0.024539156000001297,35.943391097729055,0.007188678219545769
15,3.1567508299329536,7.005374700000047,1.4623667000000466,0.14010749400000094,0.029247334000000933,34.31830519197844,0.006863661038395729
16,2.926428631681928,7.1963250999999815,1.4438588000000294,0.14392650199999962,0.028877176000000587,32.774201136544335,0.006554840227308897
17,2.7167854396078543,7.301642500000014,1.5742238000000839,0.14603285000000027,0.03148447600000168,31.183603537465903,0.00623672070749316
18,2.523356799439692,7.088113799999945,1.496576200000007,0.1417622759999989,0.02993152400000014,30.562470031548468,0.006112494006309711
