0,9.4694376188489429e+01
1,1.8938345625124317e+01
2,6.4072141099945599e+00
3,6.5957722711828719e+00
4,2.3445394789972450e+01
5,4.8422340581072248e+01
6,3.6769692784570474e+00
7,3.3915691701666986e+00
8,4.4253571027114305e+01
9,1.3470247064959594e+01
10,5.4022757137895834e+00
11,4.5811074305272363e+01
12,1.8453505575449793e+01
13,2.9092756038340188e+01
14,1.0174692720561410e+01
15,1.5837262163016068e+00
16,9.5126579440080894e-01
17,5.3546164806660315e+00
18,1.2179296666047057e+00
19,6.5155719676100201e+00
20,5.3091114041756988e+00
21,7.0992931621896691e+00
22,2.4553636846370002e+00
23,1.3582018739661037e+00
24,3.2746299471109523e+00
25,6.7001430647600113e+00
26,1.0902739103170767e+01
27,2.5996535209170695e+00
28,1.0747033556328940e+00
29,3.1523951199824007e+00
30,4.7164409909691463e+00
31,1.0929037811691065e+00
32,9.3685779082933496e-01
33,3.0725230101959342e+00
34,2.5320513378114189e+00
35,8.9683515698270633e-01
36,2.8919451670830694e+00
37,2.5678740884772484e+00
38,6.2880179016739071e+00
39,3.6513195097366786e+00
40,7.7321398387744245e-01
41,1.5816021459877159e+00
42,1.4780414506895652e+00
43,2.7610037601676209e+00
44,8.3353644088837375e-01
45,7.3094747483364220e-01
46,6.9746847890116770e-01
47,1.4546027915273474e+00
48,6.9308303145218431e-01
49,1.2382170750839194e+00
50,9.7233896442125300e-01
51,1.9285523398033355e+00
52,6.6428827319154826e-01
53,7.5812757058271307e-01
54,2.8735227674832506e+00
55,6.1528427628103310e-01
56,4.5875713710993293e-01
57,7.6414279951154873e-01
58,2.6877242433731319e-01
59,1.6554618275779495e-01
60,4.7868941050301622e-01
61,1.0504083743478221e+00
62,7.9750354123006173e-01
63,1.0127123844016368e+00
64,8.7099672679783235e-01
65,7.4381431422723254e-01
66,7.1007931500046795e-01
67,1.0033569221107570e+00
68,1.7297524156018258e+00
69,1.0929164500624449e+00
70,4.3036475866660784e-01
71,7.6765261169677712e-01
72,8.9482034227441642e-01
73,6.3072529610523675e-01
74,2.9735106263052380e-01
75,1.2102102752083355e+00
76,2.3623099365908846e+00
77,7.5774834264026902e-01
78,7.5847482494136786e-01
79,1.7309327639625591e+00
80,6.6370793861110300e-01
81,3.5276577037487233e+00
82,6.1161669623933879e-01
83,3.6727373607841163e-01
84,3.6686975456610332e-01
85,1.4124586191572903e+00
86,6.6892320449712173e-01
87,6.0048553068543120e-01
88,3.0285062346022307e-01
89,7.3956277747217281e-01
90,5.0459204103037913e-01
91,5.2710794271651573e-01
92,6.3527448363847250e-01
93,7.6568300968111114e-01
94,1.2908040248110314e-01
95,1.2676943390412673e-01
96,7.4372811416703222e-01
97,1.7461574109160879e-01
98,3.5831915273439863e-01
99,2.8360357471285264e-01
100,1.7706014420331675e-01
101,5.5714946845492752e-01
102,1.9275366827182311e-01
103,5.4981235582932927e-02
104,4.7560749862474806e-02
105,1.1118710654087695e-01
106,1.4871629159131675e-01
107,4.5823487005001973e-01
108,5.2223529035032501e-01
109,2.1333322473561180e+00
110,5.3619468914847335e-01
111,3.5371729109511330e-01
112,6.3355564900327743e-01
113,1.9239246530694226e-01
114,1.2000749919611017e-01
115,8.3506079870092342e-02
116,9.3459948406119736e-02
117,3.0494472679856699e-01
118,1.3901676067455954e-01
119,1.8350428081160461e-01
120,1.8452719126078973e-01
121,1.3429766568410406e+00
122,3.1153690527594574e-01
123,1.9072282364159993e-01
124,1.9273033663293493e-01
125,1.9767212960417199e-01
126,2.3060075846633959e-01
127,4.6308424009927729e-01
128,2.6575245307061490e-01
129,1.8754872747821011e-01
130,1.0816437496733239e-01
131,1.1694702230498047e-01
132,8.4533538795260127e-02
133,1.4744244849418081e-01
134,4.7671843519109597e-01
135,1.3489622618224914e-01
136,8.8909783499548214e-02
137,8.7846144353342856e-02
138,3.4194122196962490e-01
139,3.3906403888157860e-01
140,2.0195627986042955e-01
141,1.6259823007590296e-01
142,3.3705443243571176e-01
143,1.0145346415964396e-01
144,3.2534891705788477e-01
145,2.6388582930874116e-01
146,1.4578861300197835e-01
147,1.2844680842229680e-01
148,3.1149137011487160e-01
149,3.3413060103033021e-01
150,2.1891608736431839e-01
151,7.1766829357932840e-02
