epoch,loss,forward_total_time,backward_total_time,forward_mean_time,backward_mean_time,backward_mean_iter,backward_mean_relres
1,8.84644878154558,5.3841214,1.0961224,0.107682428,0.021922448,NaN,NaN
2,8.19821583842175,5.5655735,1.1038402,0.11131147,0.022076804,NaN,NaN
3,7.6273150679749,5.6819756,1.1155549,0.113639512,0.022311098,NaN,NaN
4,7.1014284950805,5.6860494,1.1038015,0.113720988,0.02207603,NaN,NaN
5,6.60878708941781,5.6777671,1.103188,0.113555342,0.02206376,NaN,NaN
6,6.15099021478685,5.6258967,1.1158012,0.112517934,0.022316024,NaN,NaN
7,5.7298612756581,5.5814968,1.1081872,0.111629936,0.022163744,NaN,NaN
8,5.34796385048355,5.528141,1.1278356,0.11056282,0.022556712,NaN,NaN
9,4.97731468787372,5.4777286,1.1446708,0.109554572,0.022893416,NaN,NaN
10,4.60406962161775,5.5555819,1.1307245,0.111111638,0.02261449,NaN,NaN
11,4.23771059002354,5.5376474,1.1329546,0.110752948,0.022659092,NaN,NaN
12,3.89483759077412,5.7544557,1.1720683,0.115089114,0.023441366,NaN,NaN
13,3.58415356024058,5.7963515,1.1369345,0.11592703,0.02273869,NaN,NaN
14,3.30254526483173,5.8846206,1.1355392,0.117692412,0.022710784,NaN,NaN
15,3.04857191834862,5.8850586,1.1276653,0.117701172,0.022553306,NaN,NaN
16,2.81187026613016,5.7164447,1.1529021,0.114328894,0.023058042,NaN,NaN
17,2.58659603286405,5.7720296,1.1304716,0.115440592,0.022609432,NaN,NaN
18,2.36191704572641,5.8232716,1.1418074,0.116465432,0.022836148,NaN,NaN
19,2.15808849622102,5.6655717,1.1469053,0.113311434,0.022938106,NaN,NaN
20,1.97496437771826,5.7758283,1.1633596,0.115516566,0.023267192,NaN,NaN
21,1.8116801671351,5.8030458,1.1582761,0.116060916,0.023165522,NaN,NaN
22,1.6650587686028,5.8183185,1.1222095,0.11636637,0.02244419,NaN,NaN
23,1.54060245713869,5.9524058,1.1469867,0.119048116,0.022939734,NaN,NaN
24,1.43344144677856,6.0954267,1.1418021,0.121908534,0.022836042,NaN,NaN
25,1.34280356388853,6.1691594,1.1580401,0.123383188,0.023160802,NaN,NaN
26,1.25705053384528,5.9449438,1.1419735,0.118898876,0.02283947,NaN,NaN
27,1.17174639555785,5.8703655,1.1611416,0.11740731,0.023222832,NaN,NaN
28,1.09426977402871,5.9713783,1.1301937,0.119427566,0.022603874,NaN,NaN
29,1.02305244641953,5.9729869,1.1397585,0.119459738,0.02279517,NaN,NaN
30,0.961575508182072,5.884914,1.1530195,0.11769828,0.02306039,NaN,NaN
31,0.909798377200555,5.909569,1.1633148,0.11819138,0.023266296,NaN,NaN
32,0.863463156030968,5.8666591,1.1574274,0.117333182,0.023148548,NaN,NaN
33,0.823774931373762,5.8666831,1.169399,0.117333662,0.02338798,NaN,NaN
34,0.790016242949339,5.8979786,1.1681527,0.117959572,0.023363054,NaN,NaN
35,0.757168239801498,6.0424343,1.1811853,0.120848686,0.023623706,NaN,NaN
36,0.72956628860118,6.0695002,1.2022913,0.121390004,0.024045826,NaN,NaN
37,0.706156095351872,6.2325556,1.1789521,0.124651112,0.023579042,NaN,NaN
38,0.685716488876547,6.0921015,1.1665694,0.12184203,0.023331388,NaN,NaN
39,0.667906463893261,6.0958545,1.1804889,0.12191709,0.023609778,NaN,NaN
40,0.651933623685722,6.1098828,1.1639843,0.122197656,0.023279686,NaN,NaN
41,0.636610056484275,6.1073084,1.1596951,0.122146168,0.023193902,NaN,NaN
42,0.622738256085045,6.0812277,1.1600104,0.121624554,0.023200208,NaN,NaN
43,0.609992821534581,6.0007693,1.1611827,0.120015386,0.023223654,NaN,NaN
44,0.59806039249259,6.0608697,1.1649221,0.121217394,0.023298442,NaN,NaN
45,0.586717139740543,6.1454836,1.1819039,0.122909672,0.023638078,NaN,NaN
46,0.576046597471303,5.9826212,1.1600417,0.119652424,0.023200834,NaN,NaN
47,0.56591375393479,6.0782921,1.171903,0.121565842,0.02343806,NaN,NaN
48,0.556229687174033,6.033106,1.1794275,0.12066212,0.02358855,NaN,NaN
49,0.546601060986525,6.1377278,1.1598458,0.122754556,0.023196916,NaN,NaN
50,0.536602677790026,6.0233316,1.1704955,0.120466632,0.02340991,NaN,NaN
